Cell Type,NO.,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9
ppi_10,1,cd82 muc1 egfr ptk6 erbb3 erbb2 lrig1 btc anks1b erbb4 tgfa adam17 ctgf cmtm8 ereg hbegf
dense_99,1,
dense_96,1,hoxc4 otop2 peli3
dense_94,1,
dense_93,1,
dense_92,1,lgi3
dense_91,1,jrkl gpr132 wfdc5 card9 wfikkn2 acvrl1
dense_90,1,wfikkn2 myl2 htatip2 rufy4 cnga3 qrfp crygb cbln3
dense_9,1,wfdc5
dense_89,1,akap3 acvrl1 lgi3 spire2 nanp slc17a7 nms ntrk2 she dnajb7 grin1 tnfsf11 apol6 gng2 samd8 ssh2 cnga3 efcab2 aif1l ido1 dpysl4 myo7a hrk slco4a1 il18bp myo1e evx2 myl2 ankmy1 pirt hook1 rps6kb2 oxsm sla qrfp ing2 nr2f1 ubr1 lag3 ndrg1 jrkl eif4ebp3 traf3ip3 col11a2 rbl1 tulp2 myl7 gpr4 pde7a clic5 immp2l trmt5 crygb cse1l card9 eps8l1 ubxn11 dock8 efhd2 bub1 eif2b5 scarb2 tnk2 kidins220 pou4f2 spag7 slc25a46 recql plaur ap3s1 efs ppcs slc35a5 rasgrf1 crb2 smek2 arhgap31 arl6ip4 poc1b srp14 limk2 fam131c fmnl1 klhl36 ifi44 batf3 hist1h1b chpf2 dhdds dusp6 ppp1r9a mip nln cyc1 nudcd2 gabpb2 vcl rgma hist1h4b rbp2 capns1 ccdc42 krt18 acvr2b casc4 ticam2 slc35a4 fhl2 taf12 rab3ip dph2 poldip2 hdac9 hoxc4 gaa hoxc9 dsel cbln3 uros evpl fam129a tifa slc17a9 pold1 atad5 lace1 amn mns1
dense_87,1,otop2 sostdc1 wfikkn2 rufy4 wfdc5 myl2
dense_86,1,rufy4 wfikkn2 wfdc5 slc12a3
dense_85,1,dnajb7 qrfp
